Atom,Valence,Atomic weight,Melting point,First ionization energy,Atomic density,Electronegativity,Ionic radius XII,Ionic radius VI
Se,-2,78.96,494,941,4.81,2.55,,1.98
Se,4,78.96,494,941,4.81,2.55,,0.5
Se,6,78.96,494,941,4.81,2.55,,0.42
Br,-1,79.91,265.8,1140,3.102,2.96,,1.96
Br,3,79.91,265.8,1140,3.102,2.96,,
Br,5,79.91,265.8,1140,3.102,2.96,,
Br,7,79.91,265.8,1140,3.102,2.96,,0.39
Kr,0,83.8,115.78,1351,2.413,3,,
Rb,1,85.47,312.45,403,1.532,0.82,1.72,1.52
Sr,2,87.62,1050,549,2.64,0.95,1.44,1.18
Y,3,88.91,1799,616,4.472,1.22,,0.9
Zr,4,91.22,2128,660,6.52,1.33,,0.72
Nb,3,92.91,2750,664,8.57,1.6,,0.72
Nb,4,92.91,2750,664,8.57,1.6,,0.68
Nb,5,92.91,2750,664,8.57,1.6,,0.64
Mo,1,95.94,2896,685,10.28,2.16,,
Mo,2,95.94,2896,685,10.28,2.16,,
Mo,3,95.94,2896,685,10.28,2.16,,0.69
Mo,4,95.94,2896,685,10.28,2.16,,0.65
Mo,5,95.94,2896,685,10.28,2.16,,0.61
Mo,6,95.94,2896,685,10.28,2.16,,0.59
Tc,4,98.91,2430,702,11,1.9,,0.645
Tc,5,98.91,2430,702,11,1.9,,0.6
Tc,7,98.91,2430,702,11,1.9,,0.56
Ru,2,101.1,2607,711,12.45,2.2,,
Ru,3,101.1,2607,711,12.45,2.2,,0.68
Ru,4,101.1,2607,711,12.45,2.2,,0.62
Ru,5,101.1,2607,711,12.45,2.2,,0.565
Rh,3,102.9,2237,720,12.41,2.28,,0.665
Rh,4,102.9,2237,720,12.41,2.28,,0.6
Rh,5,102.9,2237,720,12.41,2.28,,0.55
Pd,2,106.4,1828,805,12.02,2.2,,0.86
Pd,3,106.4,1828,805,12.02,2.2,,0.76
Pd,4,106.4,1828,805,12.02,2.2,,0.615
Ag,1,107.9,1234.93,731,10.49,1.93,,1.15
Ag,2,107.9,1234.93,731,10.49,1.93,,0.94
Ag,3,107.9,1234.93,731,10.49,1.93,,0.75
Cd,2,112.4,594.22,868,8.65,1.69,1.31,0.95
In,3,114.8,429.75,558,7.31,1.78,,0.8
Sn,2,118.7,505.08,709,7.365,1.96,,
Sn,4,118.7,505.08,709,7.365,1.96,,0.69
Sb,3,121.8,903.78,834,6.697,2.05,,0.76
Sb,5,121.8,903.78,834,6.697,2.05,,0.6
I,-1,126.9,386.85,1008,4.933,2.66,,2.2
I,5,126.9,386.85,1008,4.933,2.66,,0.95
I,7,126.9,386.85,1008,4.933,2.66,,0.53
Te,-2,127.6,722.66,869,6.24,2.1,,2.21
Te,2,127.6,722.66,869,6.24,2.1,,
Te,4,127.6,722.66,869,6.24,2.1,,0.97
Te,6,127.6,722.66,869,6.24,2.1,,0.56
Xe,8,131.3,161.4,1351,2.942,2.6,,0.48
Cs,1,132.9,301.7,376,1.93,0.79,1.88,1.67
Ba,2,137.3,1000,503,3.51,0.89,1.61,1.35
La,3,138.9,1193,538,6.162,1.1,1.36,1.032
Ce,3,140.1,1068,528,6.77,1.12,1.34,1.01
Ce,4,140.1,1068,528,6.77,1.12,1.14,0.87
Pr,3,140.9,1208,523,6.77,1.13,1.179,0.99
Pr,4,140.9,1208,523,6.77,1.13,,0.85
Nd,3,144.2,1297,530,7.01,1.14,1.27,0.983
Pm,3,145,1315,523,7.26,1.13,,0.97
Sm,2,150.4,1345,543,7.52,1.17,,
